expression,desc
"ts_decay_linear(group_neutralize(-1 * (rank(news_all_vwap) / (rank(rp_ess_credit_ratings) + 0.001)), subindustry), 8)",成交均价分位与信用情绪分位的比例失衡，捕捉量价配合与情绪背离的转折点。
"ts_decay_linear(group_neutralize((rp_css_insider / (news_pe_ratio + 0.001)) - news_pct_60min, subindustry), 12)",综合内部人信心与价值底座，剥离出由于短线消息驱动的虚增涨幅。
"ts_decay_linear(group_neutralize(-1 * ts_rank(news_session_range_pct / (news_spy_last + 0.001), 20), subindustry), 5)",针对消息引发的个股相对大盘的异常波动率分位数进行反转交易。
"ts_decay_linear(group_neutralize(-1 * (news_pct_60min / (ts_std(news_pct_60min, 10) + 0.001)), subindustry), 10)",新闻回报率经由自身波动率调整后的残差反转，降低高波动个股的权重干扰。
"ts_decay_linear(group_neutralize((rp_nip_credit_ratings - rp_ess_credit_ratings) / (news_session_range + 0.001), subindustry), 15)",信用评级两个维度的差值（影响力减情绪度）在震荡环境下的套利修复逻辑。
"ts_decay_linear(group_neutralize(-1 * (news_all_vwap - news_spy_last) / (news_mins_10_pct_up + 0.001), subindustry), 6)",个股相对于指数的超额VWAP在短线剧烈拉升后的回归力矩。
"ts_decay_linear(group_neutralize(-1 * (ts_rank(news_pe_ratio, 252) * news_pct_60min), subindustry), 9)",在高市盈率分位背景下的新闻拉升更容易引发均值回归，利用估值压力做残差修正。
"ts_decay_linear(group_neutralize(-1 * (news_session_range_pct - ts_avg(news_session_range_pct, 20)) / (rp_css_insider + 0.001), subindustry), 11)",日内振幅异常值在内部人情绪对冲后的特质性反转信号。
"ts_decay_linear(group_neutralize(rank(earnings_per_share_median_value / (fn_allowance_for_doubtful_accounts_receivable_a + 0.001)), subindustry), 12)",预期EPS中位数与坏账准备金之比，寻找高预期且资产质量稳健（坏账计提少）的标的。
"ts_decay_linear(group_neutralize(rank(delta(anl4_netprofit_high, 10)) - rank(delta(fnd6_newa1v1300_gdwl, 20)), subindustry), 10)",分析师最高净利润预期的增量与商誉变动的差值，剔除依靠商誉减值调节利润的个股。
"ts_decay_linear(group_neutralize(rank(anl4_fcfps_number / (fnd6_optprcca + 0.001)), subindustry), 15)",分析师预期的每股自由现金流与期权调整后价格的比值，侧重现金流支撑的估值溢价。
"ts_decay_linear(group_neutralize(rank(pretax_income_reported_min_guidance / (fnd6_mfma1_at + 0.001)), subindustry), 8)",最低税前利润指引与总资产的比率，衡量管理层保守预期下的资产回报效率。
"ts_decay_linear(group_neutralize(rank(anl4_fcf_mean) - rank(stock_option_expense_max_guidance_qtr / (actual_sales_value_annual + 0.001)), subindustry), 10)",平均自由现金流预期排除掉过高股权激励支出后的表现，识别真实盈利能力。
"ts_decay_linear(group_neutralize(rank(anl4_bvps_low / (fn_assets_fair_val_l1_a + 0.001)), subindustry), 20)",分析师最低每股净资产预期与一级公允价值资产的比值，验证账面价值的硬度。
"ts_decay_linear(group_neutralize(rank(delta(earnings_per_share_median_value, 5)) / (fnd6_txtubsettle + 0.001), subindustry), 10)",EPS预期动量经过税务结算不确定性调整后的得分，寻找受税务风险干扰小的增长。
"ts_decay_linear(group_neutralize(rank(anl4_afv4_eps_low) - rank(fn_comp_fair_value_assumptions_weighted_avg_vol_rate_a), subindustry), 10)",排除掉高波动率估值假设影响后的最低预期EPS排名，追求保守性下的超额收益。
"ts_decay_linear(group_neutralize(rank(anl4_netprofit_high / (fnd6_newa1v1300_aol2 + 0.001)), subindustry), 12)",最高预测净利润相对于其他流动负债的比率，衡量高增长预期的财务安全性。
"ts_decay_linear(group_neutralize(rank(delta(anl4_fcf_mean, 20)) - rank(fn_oth_comp_forfeitures_fair_value_a), subindustry), 10)",自由现金流预期增长与报表中没收资产公允价值的背离，识别高质量的内生增长。
"ts_decay_linear(group_neutralize(rank(actual_sales_value_annual / (fnd6_ivao + 0.001)), subindustry), 15)",年实际销售额与其他投资资产的比率，考察非核心资产对主营业务收入的摊薄影响。
"ts_decay_linear(group_neutralize(rank(anl4_totgw_number) - rank(fnd6_newa1v1300_gdwl / (fnd6_mfma1_at + 0.001)), subindustry), 10)",跟踪分析师覆盖广度与商誉占比的负相关，寻找低商誉风险的多头覆盖标的。
"ts_decay_linear(group_neutralize(rank(earnings_per_share_median_value) * rank(1 / (fn_allowance_for_doubtful_accounts_receivable_a + 0.001)), subindustry), 12)",高预期收益与低坏账准备的乘法组合，强化财务质量对利润支撑的过滤。
"ts_decay_linear(group_neutralize(rank(anl4_fcfps_number - anl4_bvps_low / (fnd6_optprcca + 0.001)), subindustry), 10)",每股现金流预期与每股净资产预期在当前股价下的综合偏离度。
"ts_decay_linear(group_neutralize(rank(pretax_income_reported_min_guidance / (actual_sales_value_annual + 0.001)), subindustry), 8)",管理层最低指引利润率，寻找在最坏情况下仍能保持盈利韧性的公司。
"ts_decay_linear(group_neutralize(rank(delta(anl4_netprofit_high, 5)) / (fn_assets_fair_val_l1_a + 0.001), subindustry), 10)",净利润最高预期变化率与高流动性公允价值资产的配比，寻找有现金支撑的利润扩张。
"ts_decay_linear(group_neutralize(rank(anl4_fcf_mean / (fnd6_newa1v1300_aol2 + 0.001)), subindustry), 15)",预期自由现金流与流动资产负债比例，衡量短期偿债能力约束下的现金流生成力。
"ts_decay_linear(group_neutralize(rank(earnings_per_share_median_value / (stock_option_expense_max_guidance_qtr + 0.001)), subindustry), 10)",预期EPS相对于股权激励成本的管理效率，寻找激励方案对股东利润侵蚀较小的标的。
"ts_decay_linear(group_neutralize(rank(delta(anl4_bvps_low, 10)) - rank(delta(fnd6_txtubsettle, 10)), subindustry), 12)",预期每股净资产的增长减去税务结算的不确定性变化，优化净资产增长的稳健性。
"ts_decay_linear(group_neutralize(rank(anl4_afv4_eps_low / (fn_comp_fair_value_assumptions_weighted_avg_vol_rate_a + 0.001)), subindustry), 15)",分析师最保守EPS预期与估值波动假设之比，寻找低估值依赖型的高增长预期。
"ts_decay_linear(group_neutralize(rank(returns(5)) * rank(ts_delta(implied_volatility_mean_90, 5)), subindustry), 10)",价格动量与90天隐含波动率变化的乘积，用于捕捉波动率扩张确认的价格趋势。
"ts_decay_linear(group_neutralize(historical_volatility_90 / (implied_volatility_mean_90 + 0.001), subindustry), 10)",历史波动率与90天均值隐含波动率的比率，衡量波动率风险溢价的回归。
"ts_decay_linear(group_neutralize(ts_delta(call_breakeven_150, 10) / (call_breakeven_150 + 0.001), subindustry), 15)",150天看涨期权盈亏平衡点的动量变化，反映市场对长期上行空间预期的调整。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_skew_60) * rank(ts_delta(implied_volatility_mean_90, 5)), subindustry), 10)",60天波动率偏度与近期IV变化的结合，捕捉尾部风险定价异常时的动量信号。
"ts_decay_linear(group_neutralize(implied_volatility_put_10 / (implied_volatility_put_20 + 0.001), subindustry), 5)",10天与20天看跌期权隐含波动率的比值，衡量短期对冲需求的急剧上升。
"ts_decay_linear(group_neutralize(rank(pcr_vol_1080) * rank(ts_delta(implied_volatility_mean_270, 20)), subindustry), 10)",长期成交量PCR与远期IV动量的交叉信号，寻找长期情绪反转的确认。
"ts_decay_linear(group_neutralize(implied_volatility_mean_90 / (implied_volatility_mean_270 + 0.001), subindustry), 10)",90天与270天IV的期限结构斜率，反映波动率曲面的期限溢价。
"ts_decay_linear(group_neutralize(rank(ts_delta(put_breakeven_90, 5)) * rank(returns(5)), subindustry), 10)",90天看跌期权盈亏平衡点变化与价格回报的负相关性确认。
"ts_decay_linear(group_neutralize(ts_rank(call_breakeven_1080, 252) - ts_rank(implied_volatility_mean_90, 252), subindustry), 20)",超长期看涨盈亏平衡点排名与中期IV排名的背离，识别深度价值。
"ts_decay_linear(group_neutralize(implied_volatility_mean_skew_60 / (historical_volatility_90 + 0.001), subindustry), 10)",波动率偏度相对于历史波动率的正规化指标，衡量偏度定价的贵贱。
"ts_decay_linear(group_neutralize(rank(ts_delta(implied_volatility_put_10, 3)) * rank(ts_delta(implied_volatility_put_20, 3)), subindustry), 5)",短端看跌期权波动率的加速度，捕捉暴跌前夕的期权异动信号。
"ts_decay_linear(group_neutralize(call_breakeven_150 / (put_breakeven_90 + 0.001), subindustry), 10)",看涨150天与看跌90天盈亏平衡点的比率，衡量市场对上下行风险的非对称预期。
"ts_decay_linear(group_neutralize(ts_delta(implied_volatility_mean_90, 20) / (implied_volatility_mean_90 + 0.001), subindustry), 20)",90天均值IV的月度变化率，识别波动率制度切换的拐点。
"ts_decay_linear(group_neutralize(rank(pcr_vol_1080) * rank(historical_volatility_90), subindustry), 15)",长期PCR与历史波动率共振，识别高波动下的看跌挤压机会。
"ts_decay_linear(group_neutralize(abs(ts_delta(call_breakeven_1080, 60)) / (implied_volatility_mean_270 + 0.001), subindustry), 20)",远期盈亏平衡点变动幅度相较于远期IV的比值，寻找预期调整的剧烈程度。
"ts_decay_linear(group_neutralize(rank(implied_volatility_put_20) - rank(implied_volatility_mean_90), subindustry), 10)",特定期限看跌IV与平均IV的排名差，衡量看跌期权的相对吸引力。
"ts_decay_linear(group_neutralize(ts_delta(implied_volatility_mean_skew_60, 10), subindustry), 10)",60天波动率偏度的短期动量，捕捉尾部风险溢价的快速转移。
"ts_decay_linear(group_neutralize(historical_volatility_90 * pcr_vol_1080 / (implied_volatility_mean_90 + 0.001), subindustry), 10)",历史波动率与PCR的组合，经由隐含波动率调节，识别超卖区域。
"ts_decay_linear(group_neutralize(rank(ts_delta(call_breakeven_150, 5)) - rank(ts_delta(put_breakeven_90, 5)), subindustry), 5)",看涨与看跌盈亏平衡点变动动量的差值，用于判断市场多空力量的边际变化。
"ts_decay_linear(group_neutralize(implied_volatility_mean_270 / (implied_volatility_mean_skew_60 + 0.001), subindustry), 15)",远期均值波动率与偏度的比值，评估波动率曲线结构的平滑度。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_skew_10) / (rank(implied_volatility_mean_skew_360) + 0.001), subindustry), 10)",短期偏度相对于长期偏度的相对强弱，捕捉期限结构中的波动率均值回归信号。
"ts_decay_linear(group_neutralize(-ts_delta(implied_volatility_mean_120, 5) / (implied_volatility_mean_1080 + 0.001), subindustry), 5)",中期隐含波动率下降速率与长期波动率之比，寻觅波动率平滑下降后的反弹机会。
"ts_decay_linear(group_neutralize(rank(pcr_vol_720) - rank(pcr_oi_60), subindustry), 12)",长周期成交量看跌看涨比与短周期持仓量比的差值，刻画资金情绪的短期背离。
"ts_decay_linear(group_neutralize(forward_price_720 / (forward_price_60 + 0.001), subindustry), 10)",远期远端价格与近端价格的比率，反映远期溢价对股票未来动能的隐含预期。
"ts_decay_linear(group_neutralize(rank(put_breakeven_720) / (rank(forward_price_720) + 0.001), subindustry), 8)",看跌期权盈亏平衡点与远期价格的相关性，评估长期下行风险是否过载。
"ts_decay_linear(group_neutralize(ts_rank(implied_volatility_put_10, 20), subindustry), 5)",短期看跌期权隐含波动率的历史分位值，高波动分位通常对应恐慌情绪触底。
"ts_decay_linear(group_neutralize(implied_volatility_mean_120 / (implied_volatility_mean_1080 + 0.001), subindustry), 15)",中期波动率与超长周期波动率的收敛度，识别该标的的波动状态是否偏离长期基准。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_skew_10) * rank(ts_delta(forward_price_60, 5)), subindustry), 10)",短期偏度与近端远期价格变动的乘积，作为动量确认信号，捕捉高偏度下的趋势延续。
"ts_decay_linear(group_neutralize(-1 * ts_delta(pcr_oi_60, 10), subindustry), 5)",持仓看跌看涨比的变化率，反映对冲盘的撤退或入场，反向指标性质。
"ts_decay_linear(group_neutralize(implied_volatility_put_10 / (implied_volatility_mean_10 + 0.001), subindustry), 10)",看跌隐含波动率相对于均值波动率的溢价，衡量个股防守需求的集中度。
"ts_decay_linear(group_neutralize(rank(forward_price_720 - forward_price_60), subindustry), 20)",期权远端与近端远期价格的绝对利差，表征市场对长期基本面的折现率变化。
"ts_decay_linear(group_neutralize(ts_rank(pcr_vol_720, 60), subindustry), 10)",长周期成交量PCR在过去三个月的分位值，用于识别异常的情绪极端点。
"ts_decay_linear(group_neutralize(log(implied_volatility_mean_1080 + 0.001) - log(implied_volatility_mean_120 + 0.001), subindustry), 10)",波动率曲面的期限利差，通常反映市场对远期风险溢价的重新定价。
"ts_decay_linear(group_neutralize(implied_volatility_mean_skew_360 / (implied_volatility_mean_skew_10 + 0.001), subindustry), 10)",偏度期限结构的倒置程度，衡量短期恐慌是否显著超过长期对冲成本。
"ts_decay_linear(group_neutralize(rank(put_breakeven_720) - rank(implied_volatility_put_10), subindustry), 5)",盈亏平衡位置与隐含波动率的排位差，寻找IV虚高但下行保护价格合理的标的。
"ts_decay_linear(group_neutralize(ts_delta(forward_price_720, 20) / (forward_price_720 + 0.001), subindustry), 10)",长期远期价格的月度变动率，一种纯粹的基于衍生品定价的趋势动能指标。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_120) * rank(pcr_oi_60), subindustry), 15)",中期波动率与短期持仓PCR的交互共振，筛选出处于高波动对冲高峰的拐点。
"ts_decay_linear(group_neutralize(ts_delta(implied_volatility_mean_skew_10, 5), subindustry), 5)",短期偏度的5日变动，捕捉偏度突然陡峭化带来的交易机会。
"ts_decay_linear(group_neutralize(rank(implied_volatility_mean_1080) - rank(implied_volatility_mean_120), subindustry), 10)",长短期波动率排名的偏离度，反映市场定价在不同久期上的非对称性。
"ts_decay_linear(group_neutralize(implied_volatility_put_10 / (put_breakeven_720 + 0.001), subindustry), 10)",单位盈亏平衡价格所承担的瞬时隐含波动压力，衡量下行风险的杠杆比率。
"ts_decay_linear(group_neutralize(-1 * (rp_ess_price / (ts_mean(rp_ess_price, 20) + 0.001)), subindustry), 10)",剥离20日价格相关情绪均值后的特质性价格情绪反转，捕捉过度反应后的回归。
"ts_decay_linear(group_neutralize(-1 * (news_ton_last / (news_low_exc_stddev + 0.001)), subindustry), 5)",利用新闻低超额标准差作为分母对最新新闻语气进行标准化，剥离波动率后的纯粹语气反转。
"ts_decay_linear(group_neutralize(-1 * (rp_ess_partner / (rp_css_partner + 0.001)), subindustry), 10)",个体伙伴情绪相对于截面伙伴情绪的偏离度反转，寻找特质性伙伴利好/利空过头的机会。
"ts_decay_linear(group_neutralize(-1 * (rp_nip_ratings / (ts_step(5) + 0.001)), subindustry), 8)",针对分析师评级相关的新闻冲击进行短期反转建模，平滑近期情绪异动。
"ts_decay_linear(group_neutralize(-1 * (rp_ess_society - ts_mean(rp_ess_society, 10)) / (rp_ess_assets + 0.001), subindustry), 12)",社会责任情绪偏离均值后的残差，并以资产情绪规模调整，捕捉特质性非财务情绪反转。
"ts_decay_linear(group_neutralize(-1 * (rp_css_inverstor / (news_cap + 0.001)), subindustry), 10)",投资者截面情绪在资本类新闻背景下的过度乐观/悲观修复，属于典型的机构残差反转。
"ts_decay_linear(group_neutralize(-1 * (news_cap / (rp_ess_assets + 0.001)), subindustry), 5)",资本类新闻强度相对于资产类情绪的残差，识别由于资本运作新闻导致的短期价量偏离修复。
"ts_decay_linear(group_neutralize(-1 * (ts_delta(news_ton_last, 3) / (news_low_exc_stddev + 0.001)), subindustry), 7)",新闻语气3日变化量的变动率反转，旨在剥离趋势动量后捕捉极速变化的情绪拐点。
"ts_decay_linear(group_neutralize(-1 * (rank(rp_ess_price) / (rank(ts_delta(close, 5)) + 0.001)), subindustry), 10)",价格情绪排名与5日价格动量排名的商，剥离显性价格动量后的纯情绪残差反转。
"ts_decay_linear(group_neutralize(-1 * (rp_nip_ratings - ts_mean(rp_nip_ratings, 20)) / (news_cap + 0.001), subindustry), 6)",剥离长期均值的评级新闻情绪，针对资本类变动进行残差化处理的空头/多头反转。
"ts_decay_linear(group_neutralize(-1 * (rp_ess_partner * news_low_exc_stddev) / (rp_ess_assets + 0.001), subindustry), 10)",结合伙伴情绪与新闻波动率的复合因子，在资产情绪基准下寻找被错杀的特质性反转机会。
"ts_decay_linear(group_neutralize(-1 * (rp_css_inverstor - rp_ess_society) / (abs(news_ton_last) + 0.001), subindustry), 8)",投资者情绪与社会情绪的背离度残差，通过语气绝对值标准化后预测极端分歧后的收敛。
"ts_decay_linear(group_neutralize(-1 * ts_rank(rp_ess_price / (news_cap + 0.001), 10), subindustry), 5)",周期内价格情绪对资本新闻强度的比值的序列排名反转，寻找相对资本投入而言过度反应的情绪点。
"ts_decay_linear(group_neutralize(-1 * (rp_ess_assets / (ts_mean(rp_ess_assets, 5) + 0.001)), subindustry), 12)",资产相关新闻情绪的短期突发增量反转，剥离5日均值后的特质性跳空修复。
"ts_decay_linear(group_neutralize(-1 * (rp_css_partner / (news_low_exc_stddev + 0.001)), subindustry), 10)",行业伙伴截面情绪相对于低波动背景的异常放大反转，剔除噪音后的特质反转信号。
"ts_decay_linear(group_neutralize(-1 * (rp_nip_ratings / (ts_rank(rp_ess_price, 20) + 0.001)), subindustry), 8)",评级冲击相对于价格情绪长期排名的残差，捕捉当评级与市场预期出现显著偏差时的向值修复。
"ts_decay_linear(group_neutralize(-1 * (news_cap - ts_mean(news_cap, 10)) / (rp_css_inverstor + 0.001), subindustry), 10)",资本类新闻情绪激增后，相对于当前投资者截面情绪的剥离式反转。
"ts_decay_linear(group_neutralize(-1 * (rp_ess_society / (ts_delta(close, 2) + 0.001)), subindustry), 5)",社会责任类情绪与极短期价格变动的残差，识别社会ESG类新闻被市场过度解读后的反弹。
"ts_decay_linear(group_neutralize(-1 * (news_ton_last / (rp_css_partner + 0.001)), subindustry), 10)",最新新闻语气对截面伙伴情绪的比率反转，剥离伙伴链条影响后的单兵情绪修复。
"ts_decay_linear(group_neutralize(-1 * (ts_rank(rp_ess_assets, 10) / (ts_rank(news_low_exc_stddev, 10) + 0.001)), subindustry), 6)",资产情绪排名与新闻波动排名的双重残差逻辑，锁定高情绪排名、低波动背景下的伪突破反转。
"ts_decay_linear(group_neutralize(rank(highest_sales_estimate / (sales_estimate_minimum + 0.001)) + rank(fnd6_oprepsx / (sales + 0.001)), subindustry), 10)",预期销售极差（乐观度）与营业每股收益（财务质量）的组合因子
"ts_decay_linear(group_neutralize(rank(est_eps - ts_delay(est_eps, 5)) * rank(fnd6_newqv1300_ibq / (fnd6_xopr + 0.001)), subindustry), 10)",EPS预期短期变动与营运成本覆盖率的交叉度量
"ts_decay_linear(group_neutralize(rank(min_ebitda_guidance / (fnd6_optdrq + 0.001)) - rank(fn_goodwill_acquired_during_period_q / (sales + 0.001)), subindustry), 10)",最低EBITDA指引对递延收入的覆盖能力及其对商誉增长的惩罚
"ts_decay_linear(group_neutralize(rank(est_capex / (anl4_capex_mean + 0.001)) * rank(fnd6_cptnewqv1300_epsx12), subindustry), 10)",资本支出预算扩张与过去12个月每股现金流的质量共振
"ts_decay_linear(group_neutralize(rank(pretax_income_actual_reported_value / (highest_sales_estimate + 0.001)) + rank(fnd6_dm / (sales + 0.001)), subindustry), 10)",实际税前收入对最高营收预期的转换率结合折旧摊销力度（资产重度）
"ts_decay_linear(group_neutralize(rank(anl4_ptpr_low / (fnd2_unrgtxbnfinregfprtxps + 0.001)), subindustry), 10)",保守分析师目标价相对于非正规税收财务项的溢价
"ts_decay_linear(group_neutralize(rank(est_eps / (est_capex + 0.001)) * rank(fnd6_oprepsx / (fnd6_xopr + 0.001)), subindustry), 10)",预期每股盈利对资本性支出的投入产出比与经营效率的结合
"ts_decay_linear(group_neutralize(rank(anl4_qf_az_hgih_spfc / (sales_estimate_minimum + 0.001)) - rank(fnd2_a_bnscbmacqrcsts / (sales + 0.001)), subindustry), 10)",分析师高预期分值相对于收购相关成本的稳健性评估
"ts_decay_linear(group_neutralize(rank(ts_delta(highest_sales_estimate, 10) / (sales + 0.001)) * rank(fnd6_newqv1300_ibq), subindustry), 10)",最高营收预期增量与季度净收入稳定性的协同
"ts_decay_linear(group_neutralize(rank(est_eps / (ts_delay(est_eps, 20) + 0.001)) + rank(fnd6_dm / (fnd6_optdrq + 0.001)), subindustry), 10)",EPS预期动量与折旧相对于递延收入比率的质量正交
"ts_decay_linear(group_neutralize(rank(min_ebitda_guidance / (anl4_capex_number + 0.001)) * rank(fnd6_oprepsx), subindustry), 10)",单位资本支出项能产生的最低EBITDA指引与实际经营EPS的验证
"ts_decay_linear(group_neutralize(rank(anl4_ptpr_low / (pretax_income_actual_reported_value + 0.001)) - rank(fn_goodwill_acquired_during_period_q), subindustry), 10)",保守估值相对于实际税前利润的支撑位及低商誉风险过滤
"ts_decay_linear(group_neutralize(rank(anl4_capex_mean / (est_capex + 0.001)) * rank(sales / (fnd6_xopr + 0.001)), subindustry), 10)",资本支出保守度（均值大于预期）与营收成本比（利润空间）
"ts_decay_linear(group_neutralize(rank(est_eps / (sales_estimate_minimum + 0.001)) + rank(fnd2_unrgtxbnfinregfprtxps / (fnd6_newqv1300_ibq + 0.001)), subindustry), 10)",单位预估营收产生的预估EPS与税收项目透明度的结合
"ts_decay_linear(group_neutralize(rank(ts_delta(min_ebitda_guidance, 5) / (anl4_ptpr_low + 0.001)) * rank(fnd6_cptnewqv1300_epsx12), subindustry), 10)",EBITDA指引上调与现金流质量的共振
"ts_decay_linear(group_neutralize(rank(highest_sales_estimate / (anl4_capex_mean + 0.001)) - rank(fnd2_a_bnscbmacqrcsts / (fnd6_oprepsx + 0.001)), subindustry), 10)",乐观营收预期需要的资本密集度与收购重组成本对EPS的侵蚀度
"ts_decay_linear(group_neutralize(rank(anl4_qf_az_hgih_spfc * est_eps) + rank(fnd6_optdrq / (fnd6_xopr + 0.001)), subindustry), 10)",高质量预期评分下的每股收益预期与营运负债/成本比率
"ts_decay_linear(group_neutralize(rank(pretax_income_actual_reported_value / (anl4_ptpr_low + 0.001)) * rank(sales / (fnd6_dm + 0.001)), subindustry), 10)",实际税前收入对保守价格目标的防御性与资产周转效率
"ts_decay_linear(group_neutralize(rank(est_eps - ts_delay(est_eps, 10)) / (rank(fn_goodwill_acquired_during_period_q) + 0.001), subindustry), 10)",EPS预期增长趋势被商誉获取风险（并购扩张风险）标准化
"ts_decay_linear(group_neutralize(rank(min_ebitda_guidance / (sales + 0.001)) + rank(fnd6_oprepsx / (fnd6_cptnewqv1300_epsx12 + 0.001)), subindustry), 10)",指引利润率与经营EPS对现金流的转化质量
"ts_decay_linear(group_neutralize(rank(ts_delta(implied_volatility_call_10, 5)), subindustry), 10)",短期看涨期权隐含波动率的5日变化率，捕捉市场情绪的快速升温
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_10 / (implied_volatility_mean_60 + 0.001)), subindustry), 12)",极短端IV相对于标准IV的变化，作为动量确认的爆发力指标
"ts_decay_linear(group_neutralize(rank(pcr_vol_10 / (pcr_oi_all + 0.001)), subindustry), 15)",短期成交PCR相对于全期限持仓PCR的偏离度，衡量即时投机情绪
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_90 - implied_volatility_call_360), subindustry), 10)",IV期限结构的斜率：中短期IV高于长期IV通常对应强烈的方向性驱动
"ts_decay_linear(group_neutralize(rank(ts_rank(pcr_oi_30, 60)), subindustry), 5)",30日持仓PCR在过去60天的分位数排名，识别机构套保力量的阶段性顶部
"ts_decay_linear(group_neutralize(rank(call_breakeven_270 / (ts_mean(call_breakeven_270, 20) + 0.001)), subindustry), 10)",270日看涨期权盈亏平衡价相对于其均线的偏离，反映长期看涨预期的拉升
"ts_decay_linear(group_neutralize(rank(ts_delta(pcr_vol_1080, 10)), subindustry), 20)",超长端成交PCR的10日变动，捕捉长线大宗资金的看跌/看涨情绪转换
"ts_decay_linear(group_neutralize(rank(ts_stddev(implied_volatility_call_90, 20) / (implied_volatility_call_90 + 0.001)), subindustry), 8)",90日IV的波动性，高IV波动通常伴随趋势的加速或转折确认
"ts_decay_linear(group_neutralize(rank(pcr_oi_270 / (pcr_oi_all + 0.001)), subindustry), 10)",长端持仓PCR占比，反映长线资金对尾部风险的对冲集中度
"ts_decay_linear(group_neutralize(rank(ts_corr(implied_volatility_call_10, pcr_vol_10, 20)), subindustry), 10)",短期IV与成交PCR的相关性：正相关通常暗示恐慌性买入
"ts_decay_linear(group_neutralize(rank(ts_delta(pcr_oi_30, 2) / (ts_stddev(pcr_oi_30, 20) + 0.001)), subindustry), 5)",30日持仓PCR的异动脉冲，寻找短期仓位失衡的套利机会
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_360 / (ts_mean(implied_volatility_call_360, 252) + 0.001)), subindustry), 15)",年化长端IV的均值回归信号，用于过滤过度反应的极端行情
"ts_decay_linear(group_neutralize(rank(ts_rank(implied_volatility_mean_60, 120) - ts_rank(pcr_oi_all, 120)), subindustry), 10)",综合IV分位数与持仓PCR分位数的差值，构建多维度悲观/乐观指标
"ts_decay_linear(group_neutralize(rank(call_breakeven_270 - ts_min(call_breakeven_270, 60)), subindustry), 10)",远端看涨期权盈亏平衡价的探底回升，确认价格底部支撑力
"ts_decay_linear(group_neutralize(rank(ts_delta(implied_volatility_call_10, 3) * ts_delta(pcr_vol_10, 3)), subindustry), 5)",IV变动与PCR成交变动的复合信号，寻找量价确认的动量点
"ts_decay_linear(group_neutralize(rank(implied_volatility_call_90 / (ts_mean(implied_volatility_call_10, 5) + 0.001)), subindustry), 10)",90日IV相对于短期IV均值的溢价，衡量期权定价的期限升水
"ts_decay_linear(group_neutralize(rank(ts_zscore(pcr_oi_270, 60)), subindustry), 15)",270日持仓PCR的Z-Score，识别长线对冲头寸的异常拥挤度
"ts_decay_linear(group_neutralize(rank(log(implied_volatility_mean_60 + 0.001) - log(ts_delay(implied_volatility_mean_60, 10) + 0.001)), subindustry), 12)",波动率均值的对数收益率，用于捕捉非线性的情绪波动加速
"ts_decay_linear(group_neutralize(rank(ts_arg_max(implied_volatility_call_10, 20)), subindustry), 10)",短期IV达到20日最高点后的持续时间，判断恐慌或亢奋情绪的衰减
"ts_decay_linear(group_neutralize(rank(ts_corr(call_breakeven_270, pcr_oi_30, 40)), subindustry), 20)",远端盈亏平衡价与中短期持仓PCR的相关性，刻画长期预期与短期波动的同步性
"group_neutralize(ts_decay_linear(-1 * rank(rp_nip_revenue - ts_mean(rp_nip_revenue, 20)), 10), subindustry)",剥离营收情绪的中枢趋势，捕捉营收新闻超预期后的特质性反转情绪。
"group_neutralize(ts_decay_linear(-1 * rank(news_mins_7_5_pct_up / (news_mins_7_5_chg + 0.001)), 5), subindustry)",利用单位价格波动下的新闻暴涨频率作为过热指标，进行短期过度反应反转。
"group_neutralize(ts_decay_linear(-1 * rank(rp_css_product - ts_mean(rp_css_product, 15)), 8), subindustry)",剥离产品线新闻的长期动量，针对产品发布或创新情绪的短期脉冲做残差反转。
"group_neutralize(ts_decay_linear(-1 * rank(rp_ess_labor / (rp_css_assets + 0.001)), 10), subindustry)",相对于资产规模的劳动力情绪残留，反映企业成本压力过载后的情绪修复。
"group_neutralize(ts_decay_linear(-1 * rank(news_max_up_amt - ts_max(news_max_up_amt, 10)), 5), subindustry)",新闻最大向上振幅在达到近期峰值后表现出的衰竭信号，预示特质性反转。
"group_neutralize(ts_decay_linear(-1 * rank(rp_css_ptg / (ts_std(rp_css_ptg, 20) + 0.001)), 12), subindustry)",经波动率调整后的价格目标指导意见情绪，剔除市场噪音后的动能剥离。
"group_neutralize(ts_decay_linear(-1 * rank(ts_delta(rp_ess_dividends, 5)), 6), subindustry)",分红政策情绪的突发变化往往导致估值短期脉冲，利用其残差规律捕捉反转。
"group_neutralize(ts_decay_linear(-1 * rank(news_mins_2_pct_dn - ts_mean(news_mins_2_pct_dn, 20)), 10), subindustry)",剥离下跌新闻频率的背景均值，识别因负面情绪过度拥挤导致的特质性反弹。
"group_neutralize(ts_decay_linear(-1 * rank(rp_nip_revenue * rp_css_ptg), 5), subindustry)",营收情绪与价格导向情绪的交互强度，反映多重共识达成后的情绪反转点。
